,Info.Title,Info.description,Info.version,Info.contact.name,Info.contact.url,QueryName,TimeTaken(s),Date/Time,Date/TimeConverted,IPA#,Query#,QueryName(shortened)
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.2565906047821045,2021-04-14 06:30:14.183847,2021-04-13 23:30:14.183847-07:00,airr-seq,,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.2333667278289795,2021-04-14 06:30:14.424468,2021-04-13 23:30:14.424468-07:00,airr-seq,,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.2534759044647217,2021-04-14 10:30:12.571126,2021-04-14 03:30:12.571126-07:00,airr-seq,,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.2503526210784912,2021-04-14 10:30:12.852146,2021-04-14 03:30:12.852146-07:00,airr-seq,,pass-field-organism-id.json
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.2390003204345703,2021-04-14 10:30:13.101326,2021-04-14 03:30:13.101326-07:00,airr-seq,,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.2533111572265625,2021-04-14 10:30:13.370429,2021-04-14 03:30:13.370429-07:00,airr-seq,,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.2327580451965332,2021-04-14 10:30:13.610565,2021-04-14 03:30:13.610565-07:00,airr-seq,,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.25472187995910645,2021-04-14 14:30:13.152845,2021-04-14 07:30:13.152845-07:00,airr-seq,,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.2526810169219971,2021-04-14 14:30:13.436833,2021-04-14 07:30:13.436833-07:00,airr-seq,,pass-field-organism-id.json
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.2389883995056153,2021-04-14 14:30:13.686138,2021-04-14 07:30:13.686138-07:00,airr-seq,,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.2663774490356445,2021-04-14 14:30:13.969146,2021-04-14 07:30:13.969146-07:00,airr-seq,,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.2342052459716797,2021-04-14 14:30:14.211638,2021-04-14 07:30:14.211638-07:00,airr-seq,,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.2601642608642578,2021-04-14 18:30:13.482277,2021-04-14 11:30:13.482277-07:00,airr-seq,,pass-all.json
